  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Swansfield Elementary,Howard County,Elementary,517,634,95,343,119,33,0,0,43,49.6,0.58,32,3,8.2,30.50%,28.10%,2.6,2.6,64.2,19.3,11.8,62.5,38.5,25,13,56.6,19.9,5.9,43.8,42.3,11.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,100%,0,78.30%,100%,44.5,36,59.37%,0.5693,93.2289,-0.6173,317.4041,-0.4654,83.0441,-0.2549,0.2012,50.4922,23.3317,1.15127115
Talbott Springs Elementary,Howard County,Elementary,609,491,113,187,121,24,0,0,46,60.7,0.71,72,4,11.6,47.80%,52.90%,3.3,3.3,60.8,37.2,33.3,100,55.6,12.5,21.9,72.5,35.4,47.9,92.9,55.6,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.10%,100%,0,86.60%,100%,50,59,48.49%,0.1594,31.8581,-0.6625,64.0632,-0.5354,66.7221,-0.2668,2.9991,107.9796,16.5415,0.3179221552
Thunder Hill Elementary,Howard County,Elementary,605,544,212,134,46,107,0,0,40,65.9,0.78,87,5,12.9,60.80%,58.10%,3.6,3.4,73.7,39.4,39.1,73.2,65.4,21.7,52.9,63.6,44.3,47.8,62.5,76.9,21.7,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95%,98.90%,0,92.30%,100%,61,47,17.38%,-1.0126,0.0007,-0.7260,2.6869,-0.5807,1.6803,-0.3535,0.0061,1.1361,2.3474,-1.42409583
Triadelphia Ridge Elementary,Howard County,Elementary,306,553,268,35,37,165,0,0,45,68.8,0.81,93,5,15.1,78.20%,71.30%,4,3.7,73.4,52.6,68.4,91.2,77.3,32.3,0,67.1,63.2,57.9,80.5,72.7,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.90%,100%,0,96%,100%,68,47,2.71%,-1.5652,12.9953,-0.6856,58.6054,-0.5379,14.1174,-0.3225,0.5830,5.7328,9.5934,-0.5348019579
Veterans Elementary,Howard County,Elementary,219,930,248,118,57,475,0,0,24,64.2,0.76,83,5,12.6,59.10%,55.20%,3.5,3.4,62.9,13.8,16.7,76.9,50,20,39.3,61.2,24.1,35,62.4,66.7,8.6,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.90%,100%,0,91.50%,100%,47.5,59.5,20.09%,-0.9105,35.7868,-0.6587,32.8778,-0.5515,345.5825,-0.1353,28.0689,13.3199,21.3456,0.907519103
Waterloo Elementary,Howard County,Elementary,604,635,216,198,36,130,0,0,49,62.6,0.74,79,4,12.9,59.50%,61.70%,3.4,3.4,70.8,31.5,46.2,94.3,47.4,8.7,60,75,34.8,46.2,88.7,57.9,8.7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.90%,100%,0,89.20%,100%,54,56,27.67%,-0.6249,3.8967,-0.7040,28.5125,-0.5544,0.9443,-0.3576,0.1803,11.4520,6.7071,-0.88902928
Waverly Elementary,Howard County,Elementary,215,770,350,53,18,317,0,0,31,71.8,0.84,97,5,15.8,78.50%,78.20%,4,3.9,75.9,82.6,0,84,66.7,29.2,73.3,75.9,69.6,0,84.7,75,25,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,100%,0,96.40%,100%,59,58.5,4.39%,-1.5020,8.4994,-0.6933,75.7067,-0.5304,123.0602,-0.2299,11.1058,44.4315,16.2112,0.2773843504
West Friendship Elementary,Howard County,Elementary,302,327,206,14,13,73,0,0,20,71.3,0.84,97,5,15.2,73.40%,76.80%,3.8,3.8,71.8,0,50,90.5,60,11.8,60,71.8,0,60,92.9,90,23.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90%,100%,0,94.20%,100%,54,70,4.82%,-1.4858,48.8027,-0.6474,44.7242,-0.5448,0.0001,-0.3698,0.5916,11.5750,10.2807,-0.450450486
Worthington Elementary,Howard County,Elementary,213,515,247,38,21,183,0,0,25,65.6,0.77,87,5,13.8,67.30%,63.30%,3.7,3.6,66.7,48.3,35.3,82.3,55,20,0,62.1,48.3,41.2,74,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.30%,100%,0,97.70%,100%,48,52,2.91%,-1.5577,10.8654,-0.6890,47.2332,-0.5434,40.5002,-0.2896,4.1121,17.6059,10.9689,-0.3659932208
Bonnie Branch Middle,Howard County,Middle,108,716,287,173,100,108,0,0,45,57.2,0.69,79,4,12,54.60%,52%,3.3,3.3,67.6,26.3,28.7,83.2,65.1,10.9,12.8,63.4,29.9,25.8,75.5,62.8,7.3,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.80%,91.80%,0,92%,100%,58,48,25.76%,-0.6969,0.2291,-0.7209,1.4885,-0.5837,11.4516,-0.3272,0.2359,20.9890,5.8646,-0.9924275629
Burleigh Manor Middle School,Howard County,Middle,216,807,265,87,28,375,0,0,49,69.9,0.84,98,5,15.6,74.10%,79.40%,3.9,4,72.5,36.5,51.9,86.6,65.3,18.8,58.3,80.2,57.6,63,87.2,63.3,15.6,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.50%,96.30%,0,94.40%,86.30%,69,68,8.77%,-1.3370,13.7931,-0.6843,46.3095,-0.5439,253.7065,-0.1689,0.5601,26.5192,18.4632,0.5537603174
Clarksville Middle,Howard County,Middle,521,552,253,32,21,217,0,0,29,60.6,0.83,97,5,16.8,84.50%,85.40%,4.2,4.1,80.2,65.6,80,93.5,79.3,53.6,0,83.3,59.4,75,91.6,93.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.10%,0,95.20%,90.30%,66,56,1.81%,-1.5992,2.8338,-0.7073,65.9867,-0.5345,90.0952,-0.2501,1.8457,15.9599,13.2937,-0.08068159476
Dunloggin Middle,Howard County,Middle,211,630,243,102,47,214,0,0,24,60.4,0.73,87,4,13.5,60.90%,65.70%,3.6,3.6,67.6,37.1,36.4,69.7,60.9,14,36.4,75.1,46.4,46.3,68.3,60.9,11.4,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.30%,98.90%,0,93.90%,96.20%,58,49,18.20%,-0.9817,1.0820,-0.7145,9.7294,-0.5702,51.8953,-0.2790,8.0987,1.4076,8.4978,-0.6692636896
Elkridge Landing Middle,Howard County,Middle,106,693,351,155,41,104,0,0,40,52.7,0.72,85,4,12,47.50%,58.30%,3.2,3.5,53.2,25.9,43.6,61.5,45,14.3,45.5,62.8,36.4,64.1,72.8,52.5,11.1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.60%,0,92.40%,88.20%,57,54,16.50%,-1.0457,14.9040,-0.6827,0.0373,-0.5910,11.3796,-0.3273,0.9945,6.8081,5.8415,-0.9952650536
Ellicott Mills Middle,Howard County,Middle,202,853,374,114,47,277,0,0,37,56.9,0.78,94,5,14.3,70%,67.70%,3.7,3.7,71.9,40.2,42.2,85,58.3,12,0,67.5,44.4,57.8,79.2,61.1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.70%,0,93.40%,99%,61,51,10.21%,-1.2827,1.4122,-0.7128,29.0330,-0.5540,55.1548,-0.2762,7.3877,10.8461,10.1899,-0.4616003955
Folly Quarter Middle,Howard County,Middle,307,663,389,37,18,179,0,0,38,61.4,0.84,98,5,15.6,79.60%,74.60%,4,3.9,76.6,70.3,77.8,87.3,86.8,34.4,0,69.6,73,88.9,83.8,76.3,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,93.60%,98.70%,71,60,1.96%,-1.5935,48.9074,-0.6473,81.3841,-0.5281,11.9769,-0.3262,1.0313,28.3049,13.0998,-0.1044737198
Glenwood Middle,Howard County,Middle,405,495,380,27,34,33,0,0,19,54,0.74,89,4,13.6,66.80%,59.70%,3.7,3.6,67.4,53.8,50,90.6,68.4,28.9,0,60.7,46.2,40.6,83.9,52.6,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,93%,94.70%,64,41,6.67%,-1.4161,151.5938,-0.5873,61.6979,-0.5364,47.8029,-0.2826,6.2393,2.2310,16.4184,0.3028149569
Hammond Middle School,Howard County,Middle,607,554,253,145,42,64,0,0,47,55.4,0.76,91,5,13.2,55.60%,66.70%,3.4,3.7,67.7,27.7,43.6,79,53.3,25,0,75.7,44.7,56.4,80.6,75.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90%,0,89.50%,97.40%,63,58,18.13%,-0.9843,2.6432,-0.7079,4.3346,-0.5776,23.0073,-0.3094,2.4456,1.0342,5.7849,-1.002216148
Harpers Choice Middle,Howard County,Middle,518,591,123,287,86,51,0,0,43,47.3,0.57,50,3,9.2,35.90%,35.10%,2.8,2.9,66.4,21.3,13.8,61.2,53.7,5.4,6.5,60.5,20.8,23.8,58,46.3,5.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.50%,86.70%,0,80.30%,96.70%,48.5,47,45.41%,0.0434,59.7687,-0.6390,189.0203,-0.4944,42.3798,-0.2877,0.2357,21.5293,17.6899,0.4588640592
Lake Elkhorn Middle,Howard County,Middle,617,547,84,287,91,47,0,0,38,50.4,0.61,60,4,9,29.40%,37.10%,2.8,2.9,58.4,17.2,26.4,50,41.2,12.7,19.2,58.4,28.1,29.9,58.7,50,9.9,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.30%,74.80%,0,79.70%,87.40%,55,56,48.09%,0.1443,88.8266,-0.6199,230.2377,-0.4843,39.4631,-0.2906,0.0293,37.2236,19.8942,0.729391714
Lime Kiln Middle,Howard County,Middle,526,734,361,84,40,195,0,0,52,60.3,0.83,97,5,15.1,71.30%,76.50%,3.7,4,71.9,42.2,41,86,82.7,28.9,0,77.4,48.2,64.1,87.6,84.6,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.70%,0,92.70%,97.30%,62,67,4.22%,-1.5084,11.2511,-0.6884,37.2953,-0.5489,11.4600,-0.3272,0.1167,9.6716,8.3543,-0.6868756668
Mayfield Woods Middle,Howard County,Middle,104,712,226,206,140,91,0,0,48,54.8,0.66,72,4,10.7,43%,45%,3.1,3.2,57.9,26.4,26.5,71.8,40.5,13.2,0,57.9,30.5,29.6,74.1,38.1,10.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.10%,95.10%,0,85.40%,99.10%,58,50,35.89%,-0.3153,15.5546,-0.6817,15.4386,-0.5644,22.2782,-0.3103,0.0002,93.5634,12.1176,-0.2250220253
Mount View Middle,Howard County,Middle,304,819,427,48,23,277,0,0,42,62.2,0.85,99,5,15.3,77.20%,72.90%,4,3.9,73.1,58.3,56.5,88.4,76.2,28.2,0,68.4,64.6,47.8,82.7,76.2,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.80%,0,95.10%,99.30%,76,56,3.06%,-1.5521,23.6175,-0.6714,97.1370,-0.5222,65.9641,-0.2674,3.2146,33.9118,14.9614,0.1240024803
Murray Hill Middle,Howard County,Middle,624,700,106,317,137,110,0,0,29,53.4,0.64,68,4,9.9,36.50%,41.40%,2.9,3,51,28.1,16.7,71.2,40.7,10,5.6,50.5,35.6,23.1,70.2,48.1,13.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64%,91.20%,0,87.50%,98.70%,49,49,33.76%,-0.3955,115.5568,-0.6049,172.0211,-0.4989,8.8850,-0.3323,7.0782,90.4339,19.8488,0.7238167725
Oakland Mills Middle,Howard County,Middle,610,472,126,190,97,21,0,0,38,48.5,0.58,54,3,8.8,31.10%,34.70%,2.7,2.8,53.2,18.4,21.7,38.1,36.8,20,6.7,59.2,21.7,18.7,52.4,44.7,14.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.20%,91.50%,0,85.70%,100%,45,37,47.17%,0.1097,24.1929,-0.6707,71.2434,-0.5323,60.9376,-0.2714,1.1700,72.6484,15.1721,0.1498541315
Patapsco Middle,Howard County,Middle,209,706,319,79,48,237,0,0,19,58.9,0.71,83,4,13.2,66%,57%,3.6,3.5,71.8,36.8,33.3,76.3,50,28.9,18.2,64.7,26.7,31.1,62.6,50,21.1,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,92.70%,0,93.20%,89.20%,65,46,13.49%,-1.1591,2.6737,-0.7078,37.6184,-0.5487,54.6705,-0.2766,17.2701,3.4082,10.7536,-0.3924124446
Patuxent Valley Middle,Howard County,Middle,621,618,154,239,96,95,0,0,33,56,0.67,75,4,10.4,38%,46.20%,3,3.2,62.8,22.4,25.5,46.1,50,17.8,14.6,65.1,34.1,30.1,60.2,53.1,22.2,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10%,90.20%,0,88.30%,81.90%,60,60,34.42%,-0.3706,39.8877,-0.6550,77.8032,-0.5296,8.9219,-0.3322,1.8362,30.9677,12.6260,-0.162617362
Thomas Viaduct,Howard County,Middle,110,687,124,301,120,110,0,0,31,53.1,0.64,67,4,9.5,31%,41.50%,2.8,3.1,38.7,26.8,14.2,53.8,25,7.8,12.8,47.1,39.7,26.1,53.3,50,10.8,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.60%,76%,0,89%,99.60%,50,49.5,39.45%,-0.1812,89.5483,-0.6194,148.1369,-0.5057,7.7412,-0.3348,5.1215,57.2884,17.5453,0.4411089302
Wilde Lake Middle,Howard County,Middle,512,610,149,310,66,38,0,0,42,46.3,0.56,46,3,9.7,31.10%,44.40%,2.8,3.1,58.9,16.2,24.6,52.6,29.3,3.3,5.6,71.2,28.1,44.3,71.1,43.9,6.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.20%,87%,0,83.70%,81.60%,47,56,38.12%,-0.2313,41.7863,-0.6533,229.7061,-0.4844,62.5934,-0.2701,0.0149,2.6204,18.3500,0.5398673708
Atholton High,Howard County,High School,509,1478,647,317,117,291,0,0,102,69.9,0.78,85,5,20.1,77.80%,57%,3.3,3.4,82.2,45.9,68.4,92.6,91.7,33.3,0,63.1,24.2,44.4,69.1,70.8,20,0,95.88,97.48,94.44,0,95.71,0,76.67,0,95.92,97.5,93.24,0,95.71,0,77.42,0,76.90%,88.60%,91.50%,86.10%,80.60%,0,0,9.31%,-1.3166,0.6600,-0.7171,0.5575,-0.5871,5.5451,-0.3402,1.2033,1.3665,3.0549,-1.337260112
Centennial High,Howard County,High School,214,1614,635,153,83,625,0,0,111,76.8,0.85,96,5,23.2,84.20%,75.30%,3.6,3.9,87.2,46.7,66.7,90.3,84.6,23.1,0,78.9,50,61.5,77,76,30.8,0,97.46,98.1,0,0,99.26,0,0,0,98.31,98.1,0,0,100,0,0,0,95.20%,88.40%,93.90%,88.80%,87.30%,0,0,10.86%,-1.2582,12.2330,-0.6868,119.8401,-0.5144,437.8792,-0.1058,1.2271,24.7382,24.4114,1.283777047
Glenelg High,Howard County,High School,404,1173,910,58,45,112,0,0,46,68.1,0.85,96,5,23.5,78.90%,83%,3.4,4.1,77.9,66.7,60,100,0,27.3,0,80.3,100,70,100,0,30,0,97.76,97.55,0,0,0,0,0,0,98.08,97.55,0,0,0,0,0,0,0,88.70%,94.70%,92.50%,77.40%,0,0,4.18%,-1.5099,272.1613,-0.5400,159.1804,-0.5025,39.5413,-0.2905,9.7599,33.0229,22.6642,1.069343906
Hammond High,Howard County,High School,619,1300,336,543,197,138,0,0,81,60,0.67,62,4,17.3,47.20%,58.70%,2.8,3.4,66.3,40.7,21.7,60.6,41.2,18.2,25,72.6,52.8,44.7,66.7,52.9,4.5,26.3,90.15,94.57,94.31,71.43,0,90.32,0,0,92.31,95.65,95.93,78,0,90.32,0,0,64.70%,66.60%,73.50%,81.60%,74.60%,0,0,33.79%,-0.3944,107.6962,-0.6091,218.8142,-0.4870,32.3845,-0.2981,0.0033,59.1537,20.4463,0.7971485986
Howard High,Howard County,High School,203,1912,942,406,125,302,0,0,136,67.7,0.75,81,5,17.8,73.30%,44.10%,3,3,81.4,50.5,65.2,81.4,73.3,46.4,50,49.6,26.1,43.5,45.7,53.3,14.8,33.3,94.79,96.7,96.97,82.35,88.46,0,0,0,95.5,96.7,97.98,90.91,88.46,0,0,0,80%,82.80%,89.60%,88.80%,76.60%,0,0,12.34%,-1.2025,7.0137,-0.6964,1.0957,-0.5850,2.0529,-0.3518,2.6237,11.2843,4.9061,-1.110062464
Long Reach High,Howard County,High School,623,1632,420,552,331,228,0,0,97,57.4,0.64,57,4,16.8,46.90%,51.80%,2.9,3.3,62.7,31.8,30.9,66.1,55.6,9.5,30.4,71.7,37.3,35.2,62.5,61.1,14.3,4.5,84.72,90.1,84.17,70,95.83,0,0,0,87.5,90.1,87.5,76.81,97.96,0,0,0,54.50%,71.50%,68.80%,80%,74.10%,0,0,37.20%,-0.2659,136.7538,-0.5942,95.7796,-0.5227,9.6306,-0.3307,0.1616,243.1516,22.0335,0.9919457738
Marriotts Ridge High,Howard County,High School,308,1332,676,117,32,447,0,0,59,78.4,0.87,98,5,23,84.60%,75.40%,3.4,4,84,70.8,0,93.7,53.8,33.3,0,72.3,72.7,0,83.2,61.5,27.3,0,97.99,98.83,0,0,95.06,0,0,0,98.32,98.83,0,0,96.3,0,0,0,100%,93%,95.90%,90.20%,88.60%,0,0,3.97%,-1.5178,9.0934,-0.6922,109.8693,-0.5177,209.0365,-0.1874,6.6780,62.1872,19.9215,0.7327334245
Mount Hebron High,Howard County,High School,207,1566,691,199,118,477,0,0,79,67.7,0.75,81,5,21,81.10%,63.20%,3.2,3.6,83.2,65,66.7,87.5,64.7,44,0,65.1,34.2,35.7,73.2,64.3,32,0,94.12,97.08,93.22,0,94.95,0,0,0,95.72,97.66,94.92,0,95.96,0,0,0,68.50%,88.30%,87.50%,81.10%,82.40%,0,0,12.80%,-1.1851,0.3974,-0.7191,65.3206,-0.5348,161.6907,-0.2094,3.3250,2.9273,15.2860,0.1638307122
Oakland Mills High,Howard County,High School,611,1158,235,507,251,77,0,0,84,51.6,0.57,41,3,14.3,37.80%,40.90%,2.6,3,63,28.3,23.6,66.7,58.3,6.5,6.7,64.8,31.3,28.3,72.7,53.8,12.9,6.7,90.37,95.08,91.67,77.55,0,0,0,0,92.19,95.08,93.46,83.67,0,0,0,0,52.40%,62.70%,74%,74.40%,67.50%,0,0,43.47%,-0.0297,158.8883,-0.5839,237.4580,-0.4826,74.4714,-0.2610,2.1121,217.0262,26.2670,1.511509803
Reservoir High,Howard County,High School,527,1527,457,494,232,239,0,0,100,62.5,0.69,69,4,18.1,56.30%,56.40%,3,3.4,67.8,45.9,31.5,75,61.1,21.1,28.6,71.3,41.7,38.5,70.9,61.1,11.1,9.5,94.23,95.42,94.02,92.31,96.55,0,0,0,96.58,96.95,95.73,98.08,100,0,0,0,50%,72.80%,88.80%,86.10%,72.80%,0,0,24.74%,-0.7353,78.7604,-0.6261,68.0616,-0.5336,2.0043,-0.3520,0.3153,70.3485,14.8152,0.1060541214
River Hill High,Howard County,High School,524,1157,573,73,52,379,0,0,80,70.7,0.88,99,5,24.5,87.50%,82.60%,3.7,4.1,85.5,68.8,76.5,93.9,95,36.8,0,80,75,76.5,88.5,85,17.6,0,93.88,97.53,0,0,97.65,0,0,0,94.26,98.15,0,0,97.67,0,0,0,0,91%,92.50%,93.70%,90.40%,0,0,2.07%,-1.5894,4.7965,-0.7015,133.3724,-0.5101,164.2673,-0.2082,0.9774,24.5370,18.1094,0.5103444796
Wilde Lake High,Howard County,High School,516,1274,339,558,186,92,0,0,94,55.5,0.62,51,4,16.3,50%,49.40%,2.6,3.3,81.9,28.7,31.4,70,59.1,16.7,30,81.3,30.7,30.3,60,52.4,13.3,0,82.72,94.94,80.28,60.61,0,0,0,0,87.04,94.94,85.42,72.73,0,0,0,0,60%,63.90%,78.90%,78.90%,66.30%,0,0,38.48%,-0.2177,97.3835,-0.6148,261.6517,-0.4771,73.2507,-0.2619,2.8998,48.2718,21.9877,0.9863149095
Galena Elementary School,Kent County,Elementary,105,351,227,47,57,0,0,0,18,52.4,0.62,41,4,8.7,32.20%,30.10%,2.9,2.7,36.7,9.5,25,0,0,8.3,0,32.7,4.8,35,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,97.80%,0,89.20%,97.80%,33,48.5,51.97%,0.2905,0.1068,-0.7226,8.9627,-0.5711,3.8152,-0.3453,0.1858,19.0635,5.6687,-1.016477869
H. H. Garnett Elementary,Kent County,Elementary,403,351,147,140,31,0,0,0,28,58.3,0.69,63,4,9.1,34.70%,37.30%,2.8,2.7,52.8,14.5,25,0,0,25,0,55.6,18.2,16.7,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.70%,97%,0,88.90%,100%,54,54.5,62.08%,0.6714,25.4111,-0.6694,62.8745,-0.5359,3.8152,-0.3453,3.2736,0.0460,9.7683,-0.5133360703
Rock Hall Elementary,Kent County,Elementary,504,259,169,60,0,0,0,0,25,45,0.6,36,4,7.9,25%,29%,2.5,2.7,34.3,8,0,0,0,12.5,0,41.8,4,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,0,86.30%,97.60%,34,53,64.84%,0.7754,0.1582,-0.7218,0.7925,-0.5861,2.8152,-0.3487,7.2138,23.7729,5.8951,-0.9886852357
Kent County Middle School,Kent County,Middle,402,449,284,92,35,0,0,0,36,35.6,0.49,27,3,8.6,26%,34.20%,2.6,2.9,33.5,9.5,14.7,0,18.8,3.1,0,40.4,16.5,27.3,0,37.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.40%,0,71.50%,62%,46,51,54.48%,0.3851,2.4074,-0.7087,8.2114,-0.5720,3.9603,-0.3448,6.9685,1.0422,4.7529,-1.128872818
Kent County High,Kent County,High School,301,583,386,118,41,0,0,0,33,50.8,0.64,56,4,15.9,29.10%,56.90%,2.7,3.6,37.1,10,0,0,16.7,13.3,0,66.3,33.3,0,0,50,17.6,0,90.48,95.74,86.84,0,0,0,0,0,89.8,94.68,86.84,0,0,0,0,0,0,97.20%,76.10%,69.10%,80.70%,0,0,43.44%,-0.0308,9.8117,-0.6909,45.2819,-0.5445,14.8616,-0.3213,3.5761,7.5899,9.0067,-0.6068064611
Arcola Elementary,Montgomery County,Elementary,790,686,24,127,470,53,0,0,0,49.3,0.58,31,3,7.3,19.50%,26.80%,2.4,2.6,0,26.7,14.2,47.8,0,7.5,13.2,0,33.3,19.8,68.2,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.30%,99%,0,76.10%,100%,44,57,76.16%,1.2018,179.1487,-0.5751,0.9487,-0.5855,14.7206,-0.3215,41.1183,406.2422,25.3412,1.397891756
Ashburton Elementary,Montgomery County,Elementary,425,877,373,136,137,140,0,0,87,65.2,0.77,86,5,12.5,58.80%,54.60%,3.5,3.3,64.3,40,41.3,76.5,67.4,12.2,41.9,57.3,35.9,39,71.2,72.1,20.4,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.50%,100%,0,91.20%,100%,68,51,12.50%,-1.1964,25.6916,-0.6690,9.5024,-0.5704,5.8822,-0.3393,22.5552,47.2711,10.5310,-0.4197330005
Bannockburn Elementary,Montgomery County,Elementary,420,449,303,18,39,58,0,0,31,76.4,0.9,99,5,17.3,87%,90.20%,4.2,4.3,88.5,50,73.7,93.9,100,64.3,65.4,89.1,83.3,88.9,93.8,100,57.1,78.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.80%,100%,0,94.10%,100%,62.5,77,2.01%,-1.5916,165.5689,-0.5810,58.2008,-0.5380,0.0029,-0.3692,0.6207,59.3323,16.8442,0.3550637319
Beall Elementary 1,Montgomery County,Elementary,207,785,269,90,186,193,0,0,44,61.7,0.73,76,4,11.9,52.90%,51.20%,3.4,3.3,73.5,19.6,25,67.6,64.7,15.4,33.8,67.3,26.1,34.2,55.4,64.7,11.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.60%,100%,0,87.60%,100%,60,55,25.06%,-0.7233,0.5608,-0.7178,29.5658,-0.5537,80.8641,-0.2564,0.1980,4.9335,10.7760,-0.3896680367
Bells Mill Elementary,Montgomery County,Elementary,607,609,269,67,57,182,0,0,34,70.4,0.83,95,5,15.1,72.60%,74.80%,3.9,3.8,72.1,55.6,59.3,83.1,80,32.3,55.8,75.3,55.6,63,83.1,86.7,19.4,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.80%,100%,0,95.40%,100%,55,67.5,9.49%,-1.3098,24.3137,-0.6706,25.4396,-0.5565,133.3114,-0.2242,0.1716,74.9257,16.0674,0.259736353
Belmont Elementary,Montgomery County,Elementary,513,320,225,23,35,18,0,0,19,61.7,0.82,95,5,13.7,61.80%,66.50%,3.6,3.7,63.8,0,50,0,70,22.2,0,67.7,0,56.3,0,70,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.70%,100%,63,73,7.45%,-1.3867,137.9994,-0.5936,26.7787,-0.5555,13.4133,-0.3237,0.0017,32.9472,14.5307,0.07113448401
Bethesda Elementary,Montgomery County,Elementary,401,619,361,41,79,96,0,0,42,65.6,0.77,87,5,13.6,63.60%,64.20%,3.7,3.5,74.2,27.3,37.8,56.7,66.7,20.9,38.8,70.1,45.5,43.2,67.9,66.7,11.6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.90%,100%,0,87.80%,100%,62,56,6.41%,-1.4259,123.7354,-0.6007,56.3929,-0.5389,2.9722,-0.3481,0.6465,50.7416,15.3130,0.1671503056
Beverly Farms Elementary,Montgomery County,Elementary,226,574,243,41,64,184,0,0,41,64.7,0.76,84,5,15.3,74.80%,75.40%,3.9,3.8,75,26.1,60.6,87.1,89.7,28,61.8,77.1,26.1,62.5,84.4,92.9,24,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.50%,100%,0,92.90%,100%,48.5,42,5.74%,-1.4511,16.1460,-0.6809,48.3649,-0.5428,160.0535,-0.2102,1.2641,57.6271,16.8361,0.3540795838
